Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the password field with less than 8 characters,MO-32,10031,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:23 PM,17/Feb/22 2:45 PM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0006v:,,Signup sprint,,,,,,,,In Progress
Varify the password field with password type,MO-33,10032,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:05 PM,21/Feb/22 9:59 AM,17/Feb/22 3:05 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00073:,,Signup sprint,,,,,,,,Done
verify the movement of strength of bar in password field,MO-34,10033,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:03 PM,17/Feb/22 12:57 PM,17/Feb/22 3:03 PM,,0,"Acceptance criteria:

Strength bar should move when according to password strength",,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,{},,,,0|i0007b:,,Signup sprint,,,,,,,,Done
Verify the password field with blank value,MO-35,10034,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:07 PM,21/Feb/22 9:59 AM,17/Feb/22 3:07 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0007j:,,Signup sprint,,,,,,,,Done
verify the password field with white space,MO-36,10035,Test,In Progress,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:23 PM,21/Feb/22 9:59 AM,,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0007r:,,Signup sprint,,,,,,,,In Progress
Verify the confirm password field with missmatched password,MO-37,10036,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:06 PM,21/Feb/22 9:59 AM,17/Feb/22 3:06 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i0007z:,,Signup sprint,,,,,,,,Done
Verify the confirm password field with blank value,MO-38,10037,Test,Done,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,Done,,,divya suman,620dd6bb07f51e00694431d1,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,17/Feb/22 10:59 AM,17/Feb/22 3:12 PM,17/Feb/22 3:31 PM,17/Feb/22 3:06 PM,,0,,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,MO-1,,,,,,,,,,,,{},,,,0|i00081:,,Signup sprint,,,,,,,,Done
these fields are accepting special character,MO-39,10038,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 11:32 AM,17/Feb/22 3:12 PM,18/Feb/22 3:42 PM,,,0,"Fields name:

* phone number
* name",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-1,MO-25,MO-2,,,,,,,,,,,{},,,,0|i00083:,,Signup sprint,,,,,,,,To Do
Field is accepting white space,MO-40,10039,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 12:21 PM,17/Feb/22 3:11 PM,18/Feb/22 4:59 PM,,,0,"Fields are:

* Name
* phone number
* password",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-1,MO-8,MO-28,MO-36,MO-21,MO-15,,17/Feb/22 12:20 PM;ug:27035544-4629-4627-98c1-1612b2250888;image-20220217-065052.png;https://ibm16.atlassian.net/secure/attachment/10001/image-20220217-065052.png,,,,,,{},,,,0|i0008b:,,Signup sprint,,,,,,,,To Do
Phone number field is accepting alphabets,MO-42,10041,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 12:55 PM,18/Feb/22 4:58 PM,18/Feb/22 4:57 PM,,,0,"description: Phone number should only accept numeric data type

*Steps to reproduce:*

i) Navigate to the [http://elearningm1.upskills.in/|http://elearningm1.upskills.in/|smart-link]

ii) Input “abc1234”

iii) click on signup button

*Expected result:*

Validation message should be appeared

*Actual result:*

Alphabets are getting accepted",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-1,MO-24,,,,,,,,,,,,{},,,,0|i0008d:,,Signup sprint,,,,,,,,To Do
Name field accepting digit,MO-43,10042,Bug,To Do,MO,My Organization,software,divya suman,620dd6bb07f51e00694431d1,,Medium,,,,divya suman,620dd6bb07f51e00694431d1,divya suman,620dd6bb07f51e00694431d1,17/Feb/22 2:08 PM,18/Feb/22 4:40 PM,18/Feb/22 4:56 PM,,,0,"*Steps to reproduce:*

i) Navigate to the [http://elearningm1.upskills.in/|http://elearningm1.upskills.in/|smart-link]

ii) Input digits in name field

iii) click on signup button

*Expected result:*

Validation message should be appeared

*Actual result:*

digits are getting accepted",,divya suman,620dd6bb07f51e00694431d1,,,,,,,,,MO-1,MO-4,,,,,,,,,,,,{},,,,0|i0008d:9,,Signup sprint,,,,,,,,To Do
